early_num_events,early_num_unique_activities,early_observed_hours,early_avg_waiting_time_hours,early_median_waiting_time_hours,early_max_waiting_time_hours,early_total_waiting_time_hours,early_num_waits_over_24h,early_activity_a_accepted,early_activity_a_cancelled,early_activity_a_complete,early_activity_a_concept,early_activity_a_create_application,early_activity_a_denied,early_activity_a_incomplete,early_activity_a_pending,early_activity_a_submitted,early_activity_a_validating,early_activity_o_accepted,early_activity_o_cancelled,early_activity_o_create_offer,early_activity_o_created,early_activity_o_refused,early_activity_o_returned,early_activity_o_sent_mail_and_online,early_activity_o_sent_online_only,early_activity_w_assess_potential_fraud,early_activity_w_call_after_offers,early_activity_w_call_incomplete_files,early_activity_w_complete_application,early_activity_w_handle_leads,early_activity_w_shortened_completion_,early_activity_w_validate_application,delay_probability,actual_delayed,risk_segment
15,9,90.86174805555555,6.490124861111111,3.055555555555555e-06,90.76580777777778,90.86174805555555,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.098829225,0,low
31,11,137.15291333333334,4.571763777777778,0.016737083333333333,50.07906666666667,137.15291333333334,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,18,2,0,0,0.5276054,0,critical
22,11,52.92341583333333,2.5201626587301584,0.0003886111111111111,49.534751666666665,52.92341583333333,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,3,0,6,3,0,0,0.42709288,1,high
20,11,94.14432972222222,4.954964722222222,0.006612777777777778,93.21239833333334,94.14432972222222,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.16933498,0,low
30,16,166.9267138888889,5.756093582375478,0.00042527777777777773,100.83470583333333,166.92671388888888,2,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,6,5,2,2,0,4,0.028482448,0,low
27,11,115.4333738888889,4.4397451495726505,0.0015070833333333334,86.24624027777779,115.43337388888891,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,8,3,0,0,0.39852133,0,medium
25,14,146.9396888888889,6.122487037037037,0.004295277777777778,94.81271833333334,146.9396888888889,2,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,6,0,4,2,0,3,0.025920743,0,low
20,11,130.45257444444445,6.865924970760235,0.0015483333333333332,94.27675138888888,130.45257444444445,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.4539506,0,high
29,14,164.6929975,5.881892767857143,0.0006173611111111111,91.12172444444444,164.6929975,2,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,6,3,3,0,0,7,0.029966712,0,low
23,13,157.5323338888889,7.160560631313132,0.0030415277777777775,92.56206166666668,157.5323338888889,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,2,0,3,0.019777406,0,low
24,14,143.97791472222224,6.259909335748793,0.00023722222222222222,143.36387694444446,143.97791472222224,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,6,0,3,2,0,3,0.01177291,0,low
19,11,166.72020833333335,9.262233796296295,0.0042229166666666665,95.80630277777777,166.72020833333332,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.46862695,1,critical
26,14,159.79481305555558,6.391792522222222,0.002656388888888889,115.40141555555556,159.79481305555555,2,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,6,0,5,2,0,3,0.021988004,0,low
16,11,71.03739555555556,4.73582637037037,0.00013222222222222221,70.04460027777777,71.03739555555555,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,3,2,0,0,0.38332593,1,medium
17,11,114.95289805555556,7.184556128472222,0.00022250000000000001,68.33251222222222,114.95289805555555,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,4,2,0,0,0.48647267,1,critical
22,11,138.431855,6.591993095238096,0.0054824999999999995,95.66944555555555,138.431855,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,7,2,0,0,0.43982905,0,high
32,18,137.1937186111111,4.425603826164876,0.00018694444444444447,67.55356,137.19371861111114,2,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,4,6,3,2,0,4,0.0020417734,0,low
20,11,142.12760666666668,7.480400350877193,0.002984722222222222,117.67663666666667,142.12760666666665,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.34599724,1,medium
17,11,87.0924588888889,5.443278680555555,0.0002322222222222222,50.39106638888889,87.09245888888888,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,4,2,0,0,0.3714255,0,medium
17,11,114.37041388888889,7.148150868055556,0.00025055555555555557,70.01735555555555,114.37041388888889,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,4,2,0,0,0.45370883,1,high
17,11,137.75347694444443,8.609592309027777,0.00011944444444444444,96.4336975,137.75347694444443,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,2,2,0,0,0.39862588,1,medium
15,9,95.97315555555555,6.8552253968253964,0.00029833333333333334,95.8452211111111,95.97315555555555,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.11936153,0,low
16,9,118.04559944444445,7.869706629629629,0.00019,117.01714555555556,118.04559944444443,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,4,0,0,0,0.13757949,0,low
19,11,142.48484944444445,7.9158249691358025,0.0022765277777777775,91.90171277777779,142.48484944444445,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.42311776,1,high
22,9,107.5203886111111,5.120018505291005,0.0040325,87.56712083333333,107.52038861111112,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,10,0,0,0,0.111757815,0,low
19,11,119.95693277777778,6.6642740432098755,0.0012386111111111111,115.78202499999999,119.95693277777777,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.20310546,0,low
18,9,96.0763411111111,5.651549477124184,0.00034055555555555553,95.91023027777779,96.07634111111112,1,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,5,0,3,0,0,0,0.14548613,0,low
41,16,123.59092472222223,3.0897731180555557,0.0053234722222222225,47.46927361111111,123.59092472222223,2,1,0,1,1,1,0,1,0,1,1,0,0,4,4,0,1,4,0,0,4,5,2,1,0,9,0.123165414,1,low
20,11,131.06548833333332,6.898183596491229,0.0038052777777777777,81.02544083333333,131.06548833333335,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,7,0,3,2,0,0,0.37541643,0,medium
18,11,144.48122527777778,8.498895604575164,0.0001713888888888889,122.47106666666667,144.48122527777778,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.37301064,1,medium
18,9,121.82821583333333,7.166365637254902,0.010794444444444445,103.78822666666666,121.82821583333333,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,6,0,0,0,0.23353659,0,medium
27,13,120.60610277777776,4.638696260683761,0.0014131944444444444,52.77110944444445,120.60610277777779,2,1,0,1,1,1,0,0,0,0,1,0,0,3,3,0,1,2,1,0,6,0,3,0,0,3,0.026667621,0,low
20,11,73.43902138888889,3.8652116520467827,0.0009230555555555555,67.51318722222221,73.43902138888888,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,7,2,0,0,0.46968433,1,critical
19,11,119.33070166666667,6.629483425925926,0.0036094444444444446,95.85933083333333,119.33070166666667,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.37270638,0,medium
28,14,166.0056552777778,6.148357602880658,0.00021222222222222223,91.21382722222222,166.00565527777778,2,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,4,3,5,0,0,6,0.055239413,0,low
18,11,126.34394,7.431996470588236,0.000175,96.07162138888889,126.34394,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.41658935,0,high
20,9,95.389195,5.020483947368421,0.00022722222222222222,94.73102999999999,95.38919499999999,1,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7,0,3,0,0,0,0.112737685,1,low
33,16,50.509772777777776,1.5784303993055557,2.277777777777778e-05,28.053733611111113,50.50977277777778,1,1,0,1,1,1,0,1,1,0,2,1,0,1,1,0,1,1,0,0,4,5,3,0,0,8,0.0017555249,0,low
18,11,89.02140888888889,5.236553464052287,0.00016166666666666665,83.01779861111112,89.02140888888889,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.12863581,0,low
24,12,145.96567527777776,6.346333707729469,0.00046583333333333334,71.62603277777778,145.9656752777778,3,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,3,2,3,0,0.3732543,0,medium
20,11,75.86391416666667,3.992837587719298,0.012392777777777777,57.347775,75.86391416666666,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,7,2,0,0,0.47590542,1,critical
17,9,131.3011088888889,8.206319305555557,0.002444444444444445,123.81923083333334,131.3011088888889,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,5,0,0,0,0.15640135,0,low
48,11,145.05602222222223,3.0862983451536645,0.011217777777777778,49.584405000000004,145.05602222222223,3,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,29,3,0,0,0.45099065,0,high
15,9,88.71799666666666,6.336999761904762,8.291666666666666e-05,88.62835944444444,88.71799666666666,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.09658099,0,low
18,11,89.85495916666667,5.285585833333332,0.0003372222222222222,86.35200083333332,89.85495916666665,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.13251935,0,low
22,12,141.09927555555555,6.719013121693122,0.0002202777777777778,115.53839083333334,141.09927555555555,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,4,0,0,3,0.028638572,0,low
20,11,111.51799000000001,5.869367894736842,0.0018172222222222222,85.93187833333333,111.51799,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,7,0,3,2,0,0,0.33675724,1,medium
18,11,117.77407527777777,6.927886781045752,0.00022444444444444446,97.3054813888889,117.77407527777778,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.34657016,0,medium
24,11,156.11043777777778,6.78741033816425,0.005481111111111111,112.60519083333332,156.11043777777775,2,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,6,2,0,0,0.37762028,1,medium
23,14,133.35073,6.0613968181818185,0.00019902777777777776,99.35431444444444,133.35073,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,6,0,2,2,0,3,0.02291806,0,low
32,14,166.4726525,5.370085564516129,0.00017805555555555557,118.81246472222223,166.4726525,1,1,0,1,1,1,0,1,0,0,2,0,0,1,1,0,1,1,0,0,6,6,3,0,0,6,0.035613004,0,low
23,11,166.6910486111111,7.576865845959596,0.0037993055555555558,99.92712833333334,166.6910486111111,2,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,5,2,0,0,0.43546972,1,high
15,9,123.62152999999999,8.830109285714286,8.166666666666665e-05,123.48153222222223,123.62153,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.11491909,0,low
20,11,143.13266861111111,7.533298347953217,0.0083925,95.13162083333334,143.13266861111111,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,7,0,3,2,0,0,0.431243,0,high
19,11,117.57365805555555,6.531869891975308,0.0002263888888888889,86.74331166666667,117.57365805555555,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.39957377,0,medium
21,12,166.62569888888888,8.331284944444445,9.51388888888889e-05,88.1084675,166.6256988888889,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.024145978,0,low
20,9,96.23160666666666,5.0648214035087715,0.003924166666666667,91.90957333333333,96.23160666666666,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,10,0,0,0,0.2853971,0,medium
19,11,122.23565388888889,6.790869660493827,0.0072254166666666664,92.18501416666666,122.23565388888888,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.42170352,1,high
26,11,91.44352777777777,3.657741111111111,0.0016991666666666668,71.29943305555555,91.44352777777777,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,13,2,0,0,0.5077549,1,critical
36,16,163.30532055555554,4.665866301587302,0.00033944444444444446,72.10523083333334,163.30532055555557,3,1,0,1,1,1,0,1,0,1,2,0,0,1,1,0,1,1,0,0,4,8,3,2,0,7,0.01727784,0,low
15,9,88.05762805555555,6.2898305753968256,4.583333333333333e-06,87.8074125,88.05762805555555,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.102365375,0,low
24,14,167.8629977777778,7.298391207729469,0.00021250000000000002,117.9995938888889,167.8629977777778,2,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,6,0,3,2,0,3,0.017857108,0,low
19,11,113.7599175,6.319995416666666,0.0012266666666666667,96.8934986111111,113.75991749999999,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.3901141,0,medium
24,11,134.93493777777778,5.866736425120772,0.007344444444444445,88.37235833333332,134.93493777777775,2,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,6,2,0,0,0.41058794,0,high
20,11,136.03026111111112,7.159487426900584,0.00040333333333333334,117.37762888888888,136.0302611111111,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,3,0,4,2,0,0,0.44831526,1,high
17,11,52.25143166666667,3.2657144791666664,0.00023430555555555558,45.74503194444444,52.25143166666666,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,4,2,0,0,0.3394093,0,medium
22,11,117.60853388888889,5.600406375661376,0.010361666666666667,93.32461166666667,117.6085338888889,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,7,2,0,0,0.4468582,1,high
24,12,167.6448013888889,7.288904408212561,0.003247777777777778,92.74964027777779,167.6448013888889,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,8,0,4,0,0,3,0.022780668,0,low
21,12,143.03039611111112,7.151519805555556,0.00018805555555555554,97.97293305555556,143.03039611111112,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.036129564,0,low
19,11,43.13347916666667,2.396304398148148,0.00025319444444444445,42.81073222222222,43.13347916666667,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,3,0,3,2,0,0,0.34405127,0,medium
20,11,88.0608186111111,4.634779926900585,0.001591388888888889,47.14747861111111,88.0608186111111,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,7,2,0,0,0.48972538,0,critical
18,9,101.68469305555556,5.9814525326797385,0.0001863888888888889,94.52549694444444,101.68469305555556,1,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,5,0,3,0,0,0,0.13887125,1,low
11,8,42.84477083333333,4.284477083333333,0.013101249999999998,42.47465,42.84477083333333,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,0.3797995,0,medium
20,11,167.93615361111114,8.838744926900585,0.004167222222222222,97.19935749999999,167.9361536111111,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.5296485,0,critical
17,11,121.08285722222223,7.5676785763888885,0.00019597222222222222,90.61267861111111,121.08285722222222,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,2,2,0,0,0.37393665,0,medium
21,12,159.85259027777778,7.992629513888889,0.00030125,86.89636138888889,159.85259027777778,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.031166116,0,low
10,5,160.5161752777778,17.83513058641975,0.005341944444444445,160.04190555555556,160.51617527777776,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0.76508087,1,critical
22,11,146.26383638888888,6.964944589947089,0.00621,94.00598277777777,146.26383638888888,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,7,2,0,0,0.42423177,0,high
26,11,119.44186722222223,4.777674688888889,0.006463333333333334,49.9507275,119.44186722222223,3,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,8,2,0,0,0.34037253,0,medium
42,12,167.35722444444446,4.081883523035231,0.003926388888888889,87.82437611111112,167.35722444444446,2,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,3,5,0,16,7,0,0,0.37024474,1,medium
17,11,139.84632194444444,8.740395121527778,9.208333333333334e-05,96.37185472222222,139.84632194444444,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,2,2,0,0,0.41681686,0,high
21,12,138.25721000000001,6.912860499999999,0.00018486111111111112,94.4771111111111,138.25721,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.031058917,0,low
21,12,135.6412513888889,6.782062569444444,0.00019972222222222223,107.77273194444444,135.6412513888889,2,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,0,3,0,0,3,0.03653136,0,low
20,11,138.97061916666667,7.314243114035087,0.0024763888888888887,99.56417555555555,138.97061916666667,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,5,2,0,0,0.38841572,0,medium
25,11,111.69835083333334,4.654097951388889,0.006053611111111111,89.2911336111111,111.69835083333332,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,10,2,0,0,0.3345172,0,medium
23,11,121.99583333333334,5.545265151515152,0.008181666666666667,95.07615194444445,121.99583333333334,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,8,2,0,0,0.46432742,0,critical
18,13,96.57208027777777,5.680710604575163,7.194444444444445e-05,49.50329083333334,96.57208027777777,2,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,4,0,2,2,0,0,0.002960383,0,low
19,11,105.61133083333334,5.867296157407408,0.00021888888888888888,86.17169277777778,105.61133083333334,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.14121062,0,low
25,11,157.12010305555557,6.5466709606481475,0.010956944444444443,117.87858861111111,157.12010305555555,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,9,3,0,0,0.3757553,1,medium
15,11,30.521855555555554,2.1801325396825395,9.861111111111111e-05,30.339204444444444,30.521855555555554,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,2,2,0,0,0.31091183,0,medium
25,11,133.49992472222223,5.562496863425927,0.0030411111111111108,73.04898583333333,133.49992472222223,2,1,0,1,1,1,0,0,0,1,0,0,0,3,3,0,0,3,0,0,5,0,4,2,0,0,0.39381513,0,medium
19,11,162.0770711111111,9.004281728395062,0.00022833333333333332,93.9966675,162.0770711111111,3,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.40584996,1,medium
22,11,119.87941027777777,5.708543346560846,0.0012530555555555556,98.51525027777778,119.87941027777778,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,5,0,0,0.41255176,0,high
21,11,163.19151055555554,8.159575527777779,0.014078472222222221,116.78741888888888,163.19151055555557,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,6,2,0,0,0.39111134,0,medium
39,16,162.0521338888889,4.264529839181286,0.0012484722222222222,88.78447361111111,162.05213388888887,2,1,0,1,1,1,0,1,0,1,2,0,0,1,1,0,1,1,0,0,6,8,5,2,0,6,0.012622014,0,low
20,9,86.64090916666666,4.5600478508771936,0.0003508333333333333,71.54042555555556,86.64090916666667,1,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7,0,3,0,0,0,0.14822717,0,low
32,16,165.1572236111111,5.327652374551971,0.00018861111111111113,92.06183027777777,165.1572236111111,2,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,6,6,3,0,0,5,0.0021008404,0,low
22,11,148.5138677777778,7.072088941798943,0.0023422222222222225,96.9156138888889,148.5138677777778,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,7,2,0,0,0.42306238,1,high
15,9,96.90382583333333,6.921701845238095,0.00020319444444444443,96.78738138888889,96.90382583333333,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.115789466,0,low
18,9,144.06990444444446,8.47470026143791,0.0036327777777777777,91.41544916666668,144.06990444444446,2,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,6,0,0,0,0.2335212,0,medium
15,9,117.76662111111112,8.411901507936507,0.00019125,117.5350611111111,117.7666211111111,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,3,0,0,0,0.13760011,0,low
22,11,134.58400333333333,6.4087620634920635,0.00021527777777777778,114.6990175,134.58400333333333,1,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,5,0,4,2,0,0,0.24375999,0,medium
33,17,146.0199088888889,4.563122152777778,0.002331388888888889,66.24369611111112,146.0199088888889,3,1,0,1,1,1,0,0,1,1,1,1,1,2,2,0,1,2,0,0,6,0,5,2,0,4,0.0020883856,0,low
18,11,155.1693752777778,9.127610310457515,0.0003180555555555556,109.92888666666667,155.16937527777776,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.38042718,0,medium
19,11,156.19557555555556,8.677531975308643,0.0023743055555555553,111.30849194444444,156.19557555555556,2,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,4,2,0,0,0.35977966,1,medium
23,11,136.93119055555556,6.224145025252525,0.001106388888888889,95.0004686111111,136.93119055555556,2,1,0,1,1,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,7,0,3,2,0,0,0.4617085,1,critical
40,16,166.30952333333332,4.264346752136752,0.0025544444444444443,96.94736888888889,166.30952333333332,2,1,0,1,1,1,0,1,1,0,2,1,0,1,1,0,1,1,0,0,6,10,3,0,0,8,0.0010405133,0,low
10,5,97.253315,10.80592388888889,0.01010611111111111,64.8877211111111,97.253315,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0.7273154,1,critical
19,11,85.18645666666667,4.732580925925927,0.007913888888888889,67.14074166666667,85.18645666666667,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,0,6,2,0,0,0.4195593,0,high
12,5,24.794735833333334,2.254066893939394,0.019894444444444447,22.996318055555555,24.794735833333334,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0.62508243,1,critical
23,11,109.6604375,4.984565340909091,0.0028244444444444445,89.07963111111111,109.6604375,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,7,3,0,0,0.250235,0,medium
18,11,105.85645972222223,6.226850571895424,0.00031583333333333333,89.22505944444444,105.85645972222221,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5,0,3,2,0,0,0.14662157,0,low
